date,new_cases,total_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,new_tests,total_tests,new_tests_smoothed,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations_smoothed,new_people_vaccinated_smoothed,stringency_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,B.1.1.7,B.1.617.2,B.1.1.529,Other,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,E1_Income support,E2_Debt/contract relief,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,H7_Vaccination policy,H8_Protection of elderly people,ConfirmedCases,ConfirmedDeaths,StringencyIndex,StringencyIndexForDisplay,StringencyLegacyIndex,StringencyLegacyIndexForDisplay,GovernmentResponseIndex,GovernmentResponseIndexForDisplay,ContainmentHealthIndex,ContainmentHealthIndexForDisplay,EconomicSupportIndex,EconomicSupportIndexForDisplay
2020-08-17,174,81658,290,5783,0,2.857,0.95,32,3.15,215,9324,467236,8283,0.035,28.6,,,,,,55.56,,,,,,,,,1,1,2,3,1,1,0,3,2,1,2,2,1,0,0,3,81658,5783,55.56,55.56,70.24,70.24,52.6,52.6,51.19,51.19,62.5,62.5
2020-08-18,314,81972,275.286,5790,7,2.857,0.94,28,2.756,215,9324,476560,8456,0.0326,30.7,,,,,,55.56,,,,,,,,,1,1,2,3,1,1,0,3,2,1,2,2,1,0,0,3,81972,5790,55.56,55.56,70.24,70.24,52.6,52.6,51.19,51.19,62.5,62.5
2020-08-19,351,82323,262,5802,12,4,0.94,29,2.854,217,9324,485884,8630,0.0304,32.9,,,,,,55.56,,,,,,,,,1,1,2,3,1,1,0,3,2,1,2,2,1,0,0,3,82323,5802,55.56,55.56,70.24,70.24,52.6,52.6,51.19,51.19,62.5,62.5
2020-08-20,333,82656,257.857,5805,3,4.143,0.93,27,2.657,203,9324,495208,8803,0.0293,34.1,,,,,,55.56,,,,,,,,,1,1,2,3,1,1,0,3,2,1,2,2,1,0,0,3,82656,5805,55.56,55.56,70.24,70.24,52.6,52.6,51.19,51.19,62.5,62.5
2020-08-21,298,82954,251.286,5810,5,3.857,0.93,26,2.559,199,9324,504532,8977,0.028,35.7,,,,,,55.56,,,,,,,,,1,1,2,3,1,1,0,3,2,1,2,2,1,0,0,3,82954,5810,55.56,55.56,70.24,70.24,52.6,52.6,51.19,51.19,62.5,62.5
2020-08-22,160,83114,241.857,5810,0,3.857,0.92,26,2.559,199,9324,513856,9150,0.0264,37.8,,,,,,55.56,,,,,,,,,1,1,2,3,1,1,0,3,2,1,2,2,1,0,0,3,83114,5810,55.56,55.56,70.24,70.24,52.6,52.6,51.19,51.19,62.5,62.5
2020-08-23,57,83171,241,5810,0,3.857,0.9,26,2.559,199,9324,523180,9324,0.0258,38.7,,,,,,55.56,5073.3,8.56,3.87,499.3327368,,,,,1,1,2,3,1,1,0,3,2,1,2,2,1,0,0,3,83171,5810,55.56,55.56,70.24,70.24,52.6,52.6,51.19,51.19,62.5,62.5
2020-08-24,182,83353,242.143,5810,0,3.857,0.88,22,2.165,187,12203,535383,9735,0.0249,40.2,,,,,,55.56,,,,,,,,,1,1,2,3,1,1,0,3,2,1,2,2,1,0,0,3,83353,5810,55.56,55.56,70.24,70.24,52.6,52.6,51.19,51.19,62.5,62.5
2020-08-25,225,83578,229.429,5814,4,3.429,0.87,21,2.067,177,12203,547586,10147,0.0226,44.2,,,,,,55.56,,,,,,,,,1,1,2,3,1,1,0,3,2,1,2,2,1,0,0,3,83578,5814,55.56,55.56,70.24,70.24,52.6,52.6,51.19,51.19,62.5,62.5
2020-08-26,246,83824,214.429,5817,3,2.143,0.88,21,2.067,168,12203,559789,10558,0.0203,49.2,,,,,,55.56,,,,,,,,,1,1,2,3,1,1,0,3,2,1,2,2,1,0,0,3,83824,5817,55.56,55.56,70.24,70.24,52.6,52.6,51.19,51.19,62.5,62.5
